region,punto,anio,lat,lon,elevacion_m,horas,hfrio_19,hfrio_15,hfrio_14,hfrio_14_19,hac_20_25,hac_25,t_prom,t_min,t_max,humedad,lluvia,eto
La Libertad,Viru,2015,-8.40084,-78.798282,65,8760,2884.0,1.0,0.0,2884.0,4483.0,158.0,20.14,18.22,22.99,84.91,161.4,1315.31
La Libertad,Viru,2016,-8.40084,-78.798282,65,8784,2639.0,0.0,0.0,2639.0,4642.0,455.0,20.69,18.74,23.59,84.71,151.7,1355.08
La Libertad,Viru,2017,-8.40084,-78.798282,65,8760,3009.0,9.0,0.0,3009.0,4221.0,646.0,20.59,18.54,23.42,83.77,237.2,1343.13
La Libertad,Viru,2018,-8.40084,-78.798282,65,8760,3709.0,88.0,4.0,3705.0,3860.0,98.0,19.51,17.49,22.36,84.63,116.2,1290.52
La Libertad,Viru,2019,-8.40084,-78.798282,65,8760,3246.0,59.0,0.0,3246.0,4198.0,345.0,20.1,17.97,22.99,84.27,159.3,1325.9
La Libertad,Viru,2020,-8.40084,-78.798282,65,8784,3432.0,105.0,15.0,3417.0,3955.0,321.0,19.85,17.75,22.83,83.02,125.2,1353.36
La Libertad,Viru,2021,-8.40084,-78.798282,65,8760,4150.0,204.0,15.0,4135.0,3215.0,110.0,19.17,17.2,22.0,82.87,157.9,1306.11
La Libertad,Viru,2022,-8.40084,-78.798282,65,8760,4573.0,134.0,6.0,4567.0,2845.0,37.0,18.87,16.91,21.75,83.34,153.2,1286.11
La Libertad,Viru,2023,-8.40084,-78.798282,65,8760,3285.0,391.0,27.0,3258.0,3929.0,402.0,19.98,17.92,22.89,82.17,242.1,1349.01
La Libertad,Viru,2024,-8.40084,-78.798282,65,8784,2347.0,0.0,0.0,2347.0,4840.0,406.0,20.8,18.75,23.74,83.86,187.0,1372.2
Lambayeque,Motupe,2014,-6.213613,-79.738647,109,8760,2255.0,31.0,2.0,2253.0,3724.0,2020.0,21.9,18.23,27.4,74.57,449.8,1530.54
Lambayeque,Motupe,2015,-6.213613,-79.738647,109,8760,1778.0,1.0,0.0,1778.0,3888.0,2363.0,22.44,18.76,27.82,75.86,945.8,1532.88
Lambayeque,Motupe,2016,-6.213613,-79.738647,109,8784,1333.0,0.0,0.0,1333.0,3879.0,2755.0,23.06,19.43,28.38,75.95,918.5,1559.87
Lambayeque,Motupe,2017,-6.213613,-79.738647,109,8760,1698.0,14.0,7.0,1691.0,4006.0,2323.0,22.54,18.97,27.51,76.34,2291.8,1497.33
Lambayeque,Motupe,2018,-6.213613,-79.738647,109,8760,2251.0,11.0,0.0,2251.0,3786.0,1949.0,21.93,18.27,27.13,74.65,539.3,1516.48
Lambayeque,Motupe,2019,-6.213613,-79.738647,109,8760,1901.0,27.0,2.0,1899.0,3758.0,2384.0,22.44,18.76,27.64,75.11,874.0,1525.41
Lambayeque,Motupe,2020,-6.213613,-79.738647,109,8784,1974.0,47.0,8.0,1966.0,3548.0,2575.0,22.63,18.72,28.21,72.54,450.3,1607.52
Lambayeque,Motupe,2021,-6.213613,-79.738647,109,8760,2346.0,56.0,2.0,2344.0,3592.0,2040.0,21.86,18.05,27.23,73.54,801.0,1534.79
Lambayeque,Motupe,2022,-6.213613,-79.738647,109,8760,2632.0,19.0,0.0,2632.0,3568.0,1783.0,21.59,17.88,26.9,74.71,968.4,1492.41
Lambayeque,Motupe,2023,-6.213613,-79.738647,109,8760,2011.0,44.0,9.0,2002.0,3976.0,2289.0,22.37,18.75,27.57,74.41,1854.3,1519.37
Lambayeque,Motupe,2024,-6.213613,-79.738647,109,8784,800.0,0.0,0.0,800.0,3936.0,2967.0,23.47,19.92,28.62,75.12,823.2,1580.28
Lima,Canete,2014,-13.064037,-76.35418,80,8760,5281.0,1273.0,442.0,4839.0,2498.0,0.0,18.16,16.29,20.57,84.67,64.5,1262.37
Lima,Canete,2015,-13.064037,-76.35418,80,8760,4734.0,625.0,72.0,4662.0,3006.0,11.0,18.75,16.88,21.15,84.64,114.7,1293.43
Lima,Canete,2016,-13.064037,-76.35418,80,8784,4130.0,256.0,11.0,4119.0,3397.0,151.0,19.37,17.37,21.84,83.82,63.1,1356.72
Lima,Canete,2017,-13.064037,-76.35418,80,8760,4310.0,494.0,82.0,4228.0,3396.0,122.0,19.22,17.3,21.58,84.89,289.5,1268.57
Lima,Canete,2018,-13.064037,-76.35418,80,8760,5247.0,995.0,204.0,5043.0,2394.0,0.0,18.13,16.35,20.45,85.88,205.9,1232.75
Lima,Canete,2019,-13.064037,-76.35418,80,8760,4821.0,802.0,157.0,4664.0,2996.0,14.0,18.65,16.82,20.99,85.27,207.3,1255.27
Lima,Canete,2020,-13.064037,-76.35418,80,8784,4843.0,1130.0,345.0,4498.0,3010.0,0.0,18.45,16.67,20.78,85.62,206.3,1254.05
Lima,Canete,2021,-13.064037,-76.35418,80,8760,5480.0,1053.0,331.0,5149.0,2160.0,0.0,18.03,16.21,20.38,84.34,88.6,1253.41
Lima,Canete,2022,-13.064037,-76.35418,80,8760,6016.0,1411.0,333.0,5683.0,1706.0,0.0,17.63,15.86,19.95,84.87,72.1,1253.0
Lima,Canete,2023,-13.064037,-76.35418,80,8760,4688.0,1594.0,774.0,3914.0,3204.0,76.0,18.57,16.66,20.98,84.13,140.0,1298.01
Lima,Canete,2024,-13.064037,-76.35418,80,8784,4070.0,155.0,19.0,4051.0,3483.0,171.0,19.44,17.58,21.9,83.52,60.0,1333.41
Lima,Huaral-Chancay,2014,-11.507821,-77.222296,149,8760,4675.0,783.0,139.0,4536.0,2860.0,103.0,18.76,16.51,22.05,83.96,73.0,1239.43
Lima,Huaral-Chancay,2015,-11.507821,-77.222296,149,8760,4003.0,219.0,11.0,3992.0,3527.0,128.0,19.43,17.18,22.7,83.27,109.8,1281.38
Lima,Huaral-Chancay,2016,-11.507821,-77.222296,149,8784,3516.0,105.0,0.0,3516.0,3709.0,525.0,19.98,17.62,23.36,82.69,53.9,1340.56
Lima,Huaral-Chancay,2017,-11.507821,-77.222296,149,8760,3637.0,228.0,7.0,3630.0,3701.0,520.0,19.91,17.6,23.16,82.45,111.7,1302.11
Lima,Huaral-Chancay,2018,-11.507821,-77.222296,149,8760,4189.0,614.0,57.0,4132.0,3316.0,93.0,19.01,16.68,22.28,83.1,92.0,1267.61
Lima,Huaral-Chancay,2019,-11.507821,-77.222296,149,8760,4005.0,419.0,22.0,3983.0,3426.0,275.0,19.39,17.04,22.66,83.3,89.5,1282.36
Lima,Huaral-Chancay,2020,-11.507821,-77.222296,149,8784,3928.0,588.0,103.0,3825.0,3256.0,637.0,19.61,17.12,23.21,81.4,63.9,1326.11
Lima,Huaral-Chancay,2021,-11.507821,-77.222296,149,8760,4127.0,602.0,105.0,4022.0,3185.0,386.0,19.26,16.77,22.95,80.86,89.9,1317.85
Lima,Huaral-Chancay,2022,-11.507821,-77.222296,149,8760,4548.0,670.0,101.0,4447.0,2826.0,310.0,18.93,16.49,22.61,80.93,83.5,1311.14
Lima,Huaral-Chancay,2023,-11.507821,-77.222296,149,8760,3681.0,911.0,248.0,3433.0,3321.0,895.0,19.92,17.32,23.74,78.88,115.3,1392.31
Lima,Huaral-Chancay,2024,-11.507821,-77.222296,149,8784,3080.0,21.0,0.0,3080.0,3900.0,935.0,20.68,18.02,24.68,79.31,124.1,1427.28
